Ticket_ID,Created_Date,Region,City,Issue_Category,Priority,Resolution_Time_Hours,Customer_Type,Satisfaction_Score
500034,2024-01-12,North,Mumbai,Billing,Medium,125,New,1
500035,2022-10-02,nan,Kolkata,Software,Low,164,New,4
500036,2023-03-31,North,Bengaluru,Billing,Critical,10,New,3
500037,2022-02-20,Central,Chennai,Service,Medium,203,New,3
500038,2024-01-19,nan,Chennai,Billing,Medium,4,New,3
500039,2023-04-28,East,Pune,Hardware,Low,44,Existing,2
500040,2023-07-15,Central,nan,Hardware,High,169,Existing,4
500041,2022-11-06,South,Delhi,Software,Low,190,New,3
500042,2024-02-13,South,Hyderabad,Hardware,High,36,Existing,
500043,2022-03-22,North,Chennai,Hardware,Medium,66,nan,1
500044,2022-10-19,nan,nan,nan,High,113,New,4
500045,2023-01-04,nan,Pune,Billing,Critical,181,New,1
500046,2022-09-06,East,Pune,Billing,Medium,48,Existing,3
500047,2023-04-21,North,Bengaluru,Hardware,Low,47,Existing,5
500048,2024-02-20,East,Mumbai,Hardware,High,13,New,
500049,2022-08-29,Central,Kolkata,Network,Medium,230,New,3
500050,2024-04-30,Central,Pune,Service,Medium,187,Existing,2
500051,2022-09-29,North,Hyderabad,nan,High,221,Existing,5
500052,2023-04-14,nan,Mumbai,Billing,Medium,,Existing,4
500053,2024-05-08,North,Kolkata,Service,Medium,169,New,
500054,2022-01-29,West,Hyderabad,Billing,High,31,Existing,5
500055,2022-05-18,East,Pune,Software,Low,28,Existing,5
500056,2023-04-10,West,Mumbai,Hardware,Medium,129,Existing,3
500057,2024-05-27,Central,nan,Service,Medium,39,New,5
500058,2023-01-20,West,Ahmedabad,Network,High,237,Existing,2
500059,2022-05-14,West,Chennai,Software,Low,84,Existing,2
500060,2022-11-22,West,nan,Hardware,Medium,173,Existing,5
500061,2022-08-24,West,Delhi,nan,Low,203,New,3
500062,2023-09-23,East,Delhi,Hardware,Low,101,New,5
500063,2023-04-29,South,nan,Software,High,28,New,4
500064,2023-01-24,nan,Ahmedabad,Hardware,High,214,New,1
500065,2024-04-24,North,Delhi,Network,Medium,48,Existing,3
500066,2022-10-14,Central,Chennai,Network,Low,181,Existing,3
500067,2024-03-09,North,Bengaluru,Network,Medium,148,Existing,4
500068,2024-01-13,Central,Hyderabad,Hardware,Low,26,Existing,3
500069,2023-02-21,nan,Mumbai,nan,Medium,221,Existing,3
500070,2024-02-02,South,nan,nan,Low,82,Existing,5
500071,2024-01-01,East,Ahmedabad,Service,Critical,191,Existing,3
500072,2022-05-03,nan,Ahmedabad,Network,Low,148,New,3
500073,2022-06-10,East,Delhi,Hardware,Low,33,New,
500074,2022-04-23,West,nan,Network,Critical,25,New,3
500075,2022-03-05,Central,Bengaluru,Network,Medium,211,New,5
500076,2023-02-14,nan,nan,Billing,Low,74,Existing,3
500077,2022-07-27,Central,nan,Software,Medium,27,Existing,2
500078,2022-07-01,nan,Kolkata,nan,Medium,165,New,3
500079,2023-05-26,East,Hyderabad,Network,High,196,Existing,3
500080,2022-11-19,nan,Ahmedabad,Hardware,Low,123,New,5
500081,2022-05-02,nan,Ahmedabad,Billing,Low,230,Existing,4
500082,2023-08-07,North,Chennai,Service,Low,39,New,1
500083,2022-02-03,nan,Hyderabad,Network,Medium,94,Existing,5
500084,2022-01-09,North,Delhi,Software,Medium,93,nan,5
500085,2023-07-25,East,Kolkata,Billing,High,147,Existing,2
500086,2023-03-11,West,nan,Billing,Low,210,Existing,4
500087,2023-09-08,West,nan,Service,Medium,17,New,
500088,2024-03-03,nan,Mumbai,Billing,Low,116,New,2
500089,2022-10-09,North,Ahmedabad,Billing,Low,9,Existing,4
500090,2023-10-01,Central,Pune,Software,Low,135,New,3
500091,2023-09-12,nan,Pune,Hardware,Low,221,New,3
500092,2022-03-06,Central,Hyderabad,Service,Low,231,New,4
500093,2022-06-03,North,Bengaluru,Hardware,Low,146,Existing,5
500094,2022-08-09,South,Mumbai,Software,Low,209,Existing,5
500095,2022-07-26,North,Bengaluru,Network,Medium,109,nan,5
500096,2022-10-31,North,Mumbai,nan,Medium,119,Existing,2
500097,2022-01-06,Central,Pune,Software,Medium,34,nan,3
500098,2023-11-15,East,Kolkata,Network,Low,92,Existing,4
500099,2023-06-15,South,Pune,Hardware,Low,124,Existing,3
500100,2022-10-23,North,nan,Network,Low,101,Existing,4
500101,2024-01-28,North,Delhi,Hardware,Critical,29,Existing,3
500102,2024-02-06,South,Chennai,Hardware,Low,219,Existing,3
500103,2022-12-19,nan,Hyderabad,Service,Medium,221,Existing,2
500104,2023-10-07,East,Hyderabad,Software,Medium,231,nan,5
500105,2023-11-06,East,Bengaluru,Hardware,High,140,Existing,1
500106,2022-02-20,North,Ahmedabad,Network,High,237,Existing,
500107,2024-05-14,North,Delhi,Billing,Low,117,New,2
500108,2024-04-05,South,Pune,Service,Critical,192,New,3
500109,2023-05-23,Central,Pune,Service,Critical,72,Existing,4
500110,2024-05-31,Central,Kolkata,nan,Low,234,Existing,3
500111,2023-10-19,East,Pune,Billing,Low,225,Existing,4
500112,2022-08-16,East,Pune,Network,Medium,57,Existing,3
500113,2023-05-29,East,Chennai,Software,Low,219,Existing,3
500114,2022-11-04,South,Chennai,Billing,Low,100,Existing,4
500115,2022-01-02,East,Kolkata,Software,Medium,228,New,1
500116,2023-06-24,East,Bengaluru,Hardware,Low,214,New,5
500117,2022-06-11,nan,Bengaluru,nan,High,145,Existing,2
500118,2024-01-29,Central,Mumbai,Software,Medium,186,New,5
500119,2023-06-29,North,Mumbai,nan,Medium,111,Existing,5
500120,2024-03-10,North,Hyderabad,Service,Medium,49,New,4
500121,2023-12-08,South,Delhi,Service,Low,11,Existing,2
500122,2022-12-09,North,nan,nan,High,237,New,3
500123,2022-11-27,Central,Hyderabad,nan,High,216,Existing,3
500124,2024-01-04,West,Hyderabad,Hardware,Low,218,New,5
500125,2022-12-12,South,Delhi,Billing,Low,126,New,3
500126,2022-12-04,North,Bengaluru,Billing,High,106,Existing,5
500127,2023-05-26,North,Mumbai,Billing,Medium,132,Existing,2
500128,2022-03-09,Central,nan,Network,Low,176,nan,5
500129,2023-05-29,North,Bengaluru,Network,Medium,22,Existing,3
500130,2023-08-01,West,Mumbai,Network,Medium,66,nan,4
500131,2022-07-27,North,Pune,Hardware,Medium,72,Existing,4
500132,2022-06-11,North,Ahmedabad,Network,Medium,58,Existing,5
500133,2022-02-19,East,Kolkata,nan,Low,62,Existing,1
500134,2023-06-30,North,Hyderabad,Hardware,Low,158,nan,
500135,2024-02-19,South,Chennai,Billing,Low,141,New,4
500136,2022-09-25,nan,Kolkata,Network,High,50,Existing,3
500137,2022-07-25,West,Chennai,Billing,High,190,Existing,5
500138,2022-09-04,East,nan,nan,Critical,111,Existing,3
500139,2024-01-28,nan,Delhi,Software,Medium,112,Existing,5
500140,2022-07-03,East,Ahmedabad,Software,Low,9,Existing,4
500141,2024-01-12,nan,Hyderabad,Hardware,Critical,181,Existing,3
500142,2023-02-25,nan,Chennai,Hardware,Low,85,Existing,
500143,2023-04-16,East,Delhi,Network,Low,138,Existing,4
500144,2022-05-06,East,Ahmedabad,Service,Medium,235,New,4
500145,2022-03-23,South,Delhi,Hardware,Critical,179,Existing,2
500146,2022-10-13,Central,Pune,nan,Medium,222,nan,4
500147,2022-04-18,West,Bengaluru,Service,Low,44,New,3
500148,2023-05-13,East,Mumbai,Billing,Low,175,Existing,2
500149,2024-06-11,Central,Hyderabad,Software,Low,165,New,3
500150,2023-05-31,West,nan,Software,Low,11,Existing,
500151,2023-08-30,Central,Pune,Service,Medium,229,New,4
500152,2022-02-08,South,Pune,Network,Critical,35,Existing,5
500153,2022-12-15,West,Chennai,Network,High,225,New,1
500154,2023-02-13,South,Mumbai,nan,Low,222,Existing,2
500155,2023-12-07,nan,Ahmedabad,Hardware,Medium,46,Existing,3
500156,2022-10-25,North,Ahmedabad,Service,Medium,16,Existing,5
500157,2024-02-09,Central,Kolkata,Network,Low,47,New,4
500158,2022-08-09,North,Hyderabad,Service,High,136,New,2
500159,2022-03-22,North,Mumbai,Software,High,178,Existing,4
500160,2023-05-07,Central,Mumbai,Network,Low,112,nan,2
500161,2022-07-09,West,Chennai,Billing,Medium,142,Existing,5
500162,2022-08-26,Central,nan,nan,Low,232,Existing,2
500163,2024-03-04,nan,Ahmedabad,Hardware,Low,238,Existing,2
500164,2022-05-01,West,Kolkata,Network,High,202,nan,3
500165,2023-02-24,nan,Pune,Software,Medium,114,Existing,2
500166,2022-01-11,nan,Delhi,Software,High,168,nan,5
500167,2022-11-26,West,Delhi,Network,Medium,215,New,4
500168,2023-08-04,East,Delhi,Software,Low,128,Existing,2
500169,2023-06-25,South,Delhi,Software,Medium,50,New,5
500170,2022-05-25,East,Kolkata,Service,Low,80,Existing,3
500171,2023-07-01,East,Kolkata,Hardware,Low,68,Existing,4
500172,2022-02-11,North,Mumbai,Hardware,Medium,95,Existing,
500173,2022-01-01,North,Hyderabad,Billing,High,102,Existing,
500174,2022-07-04,West,Bengaluru,nan,Low,114,nan,
500175,2023-11-02,South,Chennai,Service,Medium,217,New,3
500176,2022-01-02,nan,Ahmedabad,nan,Critical,162,Existing,5
500177,2022-12-01,West,Delhi,Software,Medium,107,Existing,1
500178,2023-12-07,nan,Delhi,Hardware,High,81,Existing,3
500179,2022-02-06,nan,Pune,Billing,Medium,221,Existing,2
500180,2023-09-23,South,Hyderabad,Software,Low,172,New,3
500181,2024-02-02,North,nan,Network,Medium,236,New,
500182,2024-06-07,West,Hyderabad,Billing,Medium,197,New,2
500183,2023-11-25,North,Hyderabad,Hardware,Low,216,Existing,4
500184,2024-06-15,North,Mumbai,nan,Low,217,Existing,4
500185,2022-09-17,Central,Delhi,Service,High,163,Existing,2
500186,2023-05-17,Central,Ahmedabad,Network,Low,86,New,3
500187,2022-09-21,nan,Hyderabad,Service,High,142,Existing,1
500188,2023-11-04,North,nan,Service,Low,130,Existing,2
500189,2022-12-11,nan,Ahmedabad,Network,Medium,58,New,3
500190,2022-07-01,Central,Bengaluru,Service,Medium,181,Existing,5
500191,2022-12-22,West,Kolkata,Hardware,Medium,52,Existing,4
500192,2022-04-05,Central,Kolkata,Service,Low,170,New,4
500193,2024-05-26,East,Hyderabad,nan,High,166,Existing,1
500194,2023-06-07,South,Hyderabad,nan,High,160,New,
500195,2023-04-23,South,Ahmedabad,Software,Low,140,Existing,
500196,2022-06-01,East,Pune,Hardware,Low,222,Existing,3
500197,2022-10-27,nan,Chennai,nan,Low,,Existing,4
500198,2022-12-17,Central,nan,Service,Medium,55,Existing,2
500199,2024-05-19,Central,Hyderabad,nan,Medium,198,Existing,4
500200,2024-01-19,West,Hyderabad,Software,Medium,132,New,4
500201,2022-10-19,East,Bengaluru,Hardware,Medium,217,nan,5
500202,2022-08-15,nan,Pune,Hardware,Medium,213,Existing,5
500203,2022-07-30,Central,Delhi,Billing,Medium,221,New,2
500204,2022-04-01,North,Hyderabad,Network,Medium,132,Existing,5
500205,2024-03-10,nan,Chennai,nan,Medium,221,Existing,3
500206,2022-11-01,South,Pune,Network,Low,105,Existing,4
500207,2023-12-31,East,Mumbai,Hardware,Medium,6,New,3
500208,2023-02-07,East,Pune,nan,Medium,203,Existing,5
500209,2022-04-25,West,Ahmedabad,nan,Critical,112,New,3
500210,2022-09-28,nan,Ahmedabad,Billing,Low,125,New,3
500211,2024-06-05,North,nan,Hardware,Medium,37,New,5
500212,2024-01-13,South,Delhi,Service,Medium,12,New,1
500213,2023-10-06,South,Pune,nan,High,161,Existing,2
500214,2022-06-04,Central,Bengaluru,Service,High,182,New,1
500215,2024-05-19,Central,Hyderabad,Network,Low,186,Existing,4
500216,2022-09-26,West,Bengaluru,Service,Low,143,New,3
500217,2024-04-13,nan,Pune,Software,High,105,Existing,3
500218,2024-04-17,Central,Pune,nan,Medium,227,New,4
500219,2024-04-02,nan,Chennai,Software,Medium,147,Existing,3
500220,2022-07-22,Central,Chennai,Service,High,110,Existing,
500221,2022-08-27,Central,Hyderabad,Billing,Medium,175,Existing,1
500222,2022-11-02,North,Kolkata,Billing,Low,212,Existing,3
500223,2023-09-05,East,nan,Service,Low,2,New,2
500224,2022-09-17,nan,Ahmedabad,Billing,Critical,82,Existing,2
500225,2024-03-01,nan,Hyderabad,Hardware,Medium,224,nan,2
500226,2023-10-08,East,Mumbai,Service,High,57,Existing,4
500227,2023-02-08,Central,nan,nan,Medium,17,New,3
500228,2023-04-29,West,Mumbai,Network,Low,206,nan,
500229,2022-12-21,East,Mumbai,Service,High,25,New,5
500230,2022-06-17,nan,Bengaluru,Software,Critical,153,Existing,
500231,2023-10-14,nan,Kolkata,Network,Medium,149,Existing,4
500232,2022-01-01,West,nan,Software,Low,115,Existing,2
500233,2022-09-08,South,Hyderabad,Billing,Medium,208,New,4
500234,2022-07-17,North,Mumbai,Software,Low,82,nan,5
500235,2023-09-05,nan,Ahmedabad,Service,High,84,Existing,4
500236,2022-10-27,nan,Ahmedabad,Service,Medium,88,New,3
500237,2022-07-13,West,Ahmedabad,Service,Low,23,Existing,4
500238,2024-01-01,South,Bengaluru,Software,Low,94,New,4
500239,2022-12-08,Central,Bengaluru,Service,Medium,16,New,2
500240,2023-12-22,West,Hyderabad,Network,Medium,197,Existing,3
500241,2023-05-09,West,Hyderabad,nan,Medium,34,Existing,1
500242,2024-02-21,Central,Bengaluru,Network,Low,222,Existing,2
500243,2023-08-15,East,Hyderabad,Billing,Low,44,New,3
500244,2022-10-26,South,Kolkata,Hardware,Low,169,nan,3
500245,2023-02-12,Central,nan,Billing,Low,159,Existing,4
500246,2023-05-30,Central,Pune,Network,Low,55,New,5
500247,2022-05-01,East,Chennai,Software,Medium,24,Existing,4
500248,2023-08-11,West,Kolkata,Network,Low,79,Existing,5
500249,2024-03-07,West,Bengaluru,Hardware,Medium,85,New,3
500250,2023-08-19,Central,Mumbai,Billing,High,61,Existing,2
500251,2023-01-01,East,Kolkata,nan,Low,74,Existing,5
500252,2024-05-05,East,Pune,Billing,Low,168,New,3
500253,2024-06-01,West,Mumbai,Billing,Medium,105,Existing,3
500254,2023-04-20,West,nan,nan,Medium,202,Existing,3
500255,2023-08-16,nan,Mumbai,Service,High,68,Existing,2
500256,2023-05-17,South,Chennai,Service,Medium,125,Existing,2
500257,2024-06-10,South,nan,Network,Low,195,New,4
500258,2022-03-20,South,Ahmedabad,Hardware,Low,26,Existing,5
500259,2023-06-04,East,Chennai,Service,Low,52,Existing,4
500260,2022-04-22,West,Delhi,Software,Low,72,New,4
500261,2022-08-14,nan,Ahmedabad,Software,Low,185,Existing,4
500262,2023-05-05,nan,Ahmedabad,Software,High,114,Existing,2
500263,2023-10-13,nan,Ahmedabad,Network,Critical,177,Existing,3
500264,2023-09-08,East,Kolkata,Service,High,85,Existing,3
500265,2023-06-28,nan,Chennai,Service,Low,209,Existing,2
500266,2023-01-08,East,Delhi,Software,Low,70,New,5
500267,2022-05-31,Central,Mumbai,Billing,Medium,179,Existing,1
500268,2022-07-12,East,Bengaluru,Service,Medium,73,Existing,5
500269,2022-01-18,Central,nan,Software,Medium,103,Existing,4
500270,2022-09-15,Central,Hyderabad,Service,Critical,92,New,1
500271,2022-07-17,North,Ahmedabad,Software,Critical,115,New,2
500272,2022-11-07,South,Kolkata,Hardware,Low,224,New,5
500273,2022-08-03,South,Bengaluru,Hardware,Medium,112,New,4
500274,2022-01-22,North,Delhi,Software,Low,76,Existing,5
500275,2023-08-10,North,nan,Billing,Low,101,Existing,3
500276,2022-12-28,South,Ahmedabad,Service,Medium,221,New,5
500277,2023-01-31,South,Chennai,Software,Medium,175,nan,2
500278,2023-06-12,West,nan,Billing,Low,183,New,4
500279,2023-04-07,South,Bengaluru,Billing,High,66,Existing,2
500280,2023-04-29,South,Pune,Billing,Medium,132,Existing,3
500281,2023-12-25,North,Kolkata,Software,Medium,164,Existing,2
500282,2023-09-22,South,Kolkata,Service,Low,48,New,2
500283,2023-05-07,West,Delhi,Billing,Medium,201,New,
500284,2022-10-23,West,Hyderabad,Hardware,Low,137,New,
500285,2022-03-15,North,Ahmedabad,Service,Low,228,New,3
500286,2023-01-13,East,Pune,Network,Medium,102,Existing,3
500287,2022-10-16,nan,Chennai,Service,Low,174,New,1
500288,2023-03-28,North,Hyderabad,Service,Medium,18,Existing,4
500289,2022-03-04,North,Bengaluru,Hardware,Medium,223,New,5
500290,2022-10-09,South,Chennai,Billing,Medium,56,New,3
500291,2023-07-21,East,Mumbai,Software,Low,61,Existing,5
500292,2022-02-26,South,Kolkata,Hardware,Critical,190,New,2
500293,2022-06-24,Central,Mumbai,Billing,High,174,New,4
500294,2023-09-06,East,Hyderabad,Network,Low,78,nan,4
500295,2024-06-16,Central,Kolkata,Network,Critical,,Existing,4
500296,2024-05-06,nan,Ahmedabad,Hardware,High,149,Existing,
500297,2022-07-23,nan,Hyderabad,Hardware,Low,3,nan,
500298,2022-03-27,nan,Mumbai,Network,High,223,New,3
500299,2023-11-02,North,nan,Network,Low,100,New,3
500300,2024-04-23,North,Delhi,Software,Critical,183,New,2
500301,2023-07-21,West,Kolkata,Service,Critical,36,Existing,3
500302,2022-04-22,West,Ahmedabad,Service,Low,198,Existing,4
500303,2023-09-23,nan,Hyderabad,Service,High,193,Existing,4
500304,2024-01-31,nan,Ahmedabad,Service,High,31,Existing,2
500305,2024-03-12,West,Pune,Billing,Medium,38,Existing,4
500306,2022-08-15,nan,Delhi,Network,Medium,50,Existing,2
500307,2022-03-17,West,Ahmedabad,Network,Low,210,Existing,1
500308,2023-01-25,East,Mumbai,Software,Medium,198,Existing,4
500309,2022-05-10,South,Hyderabad,Network,Medium,63,Existing,3
500310,2023-11-28,North,Chennai,Software,Critical,16,Existing,3
500311,2023-01-01,North,Chennai,Network,Low,25,Existing,3
500312,2022-11-24,East,Delhi,Billing,Medium,119,New,4
500313,2022-08-15,nan,Mumbai,Service,Low,32,New,3
500314,2023-10-23,South,Kolkata,Hardware,Low,168,nan,
500315,2022-08-09,nan,nan,Network,Critical,239,Existing,5
500316,2022-01-04,West,Kolkata,Software,Low,88,Existing,4
500317,2023-03-17,East,nan,Software,High,70,Existing,2
500318,2023-12-06,nan,Chennai,Service,Medium,194,Existing,3
500319,2024-01-24,East,Ahmedabad,Network,Low,32,Existing,4
500320,2023-11-09,West,Kolkata,Software,Medium,140,Existing,
500321,2023-09-29,Central,Mumbai,Billing,High,139,Existing,3
500322,2023-09-29,East,Ahmedabad,Software,Low,221,Existing,4
500323,2022-02-24,East,Chennai,Billing,High,86,Existing,
500324,2024-04-08,East,Mumbai,Software,High,1,Existing,
500325,2024-06-18,South,Kolkata,Service,High,95,New,3
500326,2022-05-02,nan,Kolkata,Software,Medium,8,New,3
500327,2022-03-15,nan,Ahmedabad,Service,High,203,Existing,
500328,2023-03-08,Central,Delhi,Hardware,Medium,72,New,2
500329,2022-05-26,Central,Ahmedabad,Service,Medium,172,Existing,
500330,2023-03-05,West,Ahmedabad,Network,Low,183,Existing,2
500331,2022-07-18,Central,Ahmedabad,Network,High,170,New,1
500332,2022-09-15,West,nan,nan,Medium,146,Existing,5
500333,2024-01-14,Central,Mumbai,Network,High,90,Existing,2
500334,2022-11-02,nan,Mumbai,Hardware,High,201,New,1
500335,2022-09-11,South,Bengaluru,nan,High,137,Existing,3
500336,2022-01-31,South,Bengaluru,Hardware,Medium,154,New,2
500337,2022-10-22,South,Ahmedabad,Billing,Low,93,New,4
500338,2022-12-06,South,Hyderabad,Hardware,Medium,166,New,4
500339,2022-10-30,East,Bengaluru,Service,Low,145,New,3
500340,2024-05-04,North,Pune,Hardware,Medium,64,New,4
500341,2023-09-02,West,Delhi,Hardware,Low,147,Existing,3
500342,2024-03-28,East,Chennai,Billing,Critical,62,nan,3
500343,2022-11-29,South,Pune,Service,Medium,142,Existing,4
500344,2023-04-17,North,Hyderabad,Network,Low,205,Existing,3
500345,2022-12-25,Central,Mumbai,Billing,High,167,New,3
500346,2023-07-20,East,Pune,Service,Low,2,New,3
500347,2023-04-01,North,Chennai,Network,Low,93,Existing,5
500348,2024-03-23,North,Hyderabad,Hardware,Medium,30,New,4
500349,2023-06-15,nan,Mumbai,Network,Medium,5,nan,4
500350,2023-07-27,North,Hyderabad,Billing,Medium,,New,
500351,2022-07-05,Central,Mumbai,Network,Critical,54,nan,3
500352,2024-03-08,South,Bengaluru,Software,Medium,165,Existing,3
500353,2022-04-06,nan,Ahmedabad,Software,Low,132,New,4
500354,2023-05-13,Central,nan,Network,Low,131,Existing,4
500355,2022-01-22,North,Delhi,Network,Medium,71,Existing,1
500356,2022-08-25,Central,Pune,Software,Medium,81,Existing,3
500357,2022-11-11,South,Ahmedabad,Billing,High,89,New,3
500358,2024-01-22,North,Bengaluru,nan,Low,161,New,4
500359,2022-06-01,North,Bengaluru,Software,Low,233,Existing,
500360,2024-01-30,East,nan,nan,Low,160,New,4
500361,2024-04-01,East,Pune,Network,Low,34,New,
500362,2022-02-04,nan,nan,Hardware,Low,174,Existing,3
500363,2023-06-16,East,Ahmedabad,Hardware,Low,162,nan,3
500364,2023-08-12,South,Delhi,Network,Medium,236,New,3
500365,2022-07-17,West,Hyderabad,Software,Medium,132,New,5
500366,2022-12-10,North,Hyderabad,Billing,Low,68,New,5
500367,2023-10-08,Central,Kolkata,Network,Low,161,New,4
500368,2023-04-10,Central,nan,Hardware,High,36,New,4
500369,2022-06-11,nan,Hyderabad,Network,Medium,59,Existing,3
500370,2022-02-02,East,Ahmedabad,Service,Low,106,New,1
500371,2023-04-21,East,nan,nan,Critical,138,New,1
500372,2024-06-05,nan,Pune,Software,Critical,93,nan,3
500373,2023-02-04,East,nan,Network,High,217,Existing,1
500374,2022-11-02,West,Bengaluru,Network,High,19,Existing,2
500375,2022-12-21,Central,Bengaluru,Hardware,Low,195,nan,
500376,2023-11-26,West,Bengaluru,Hardware,Low,19,Existing,3
500377,2022-12-31,North,Chennai,Hardware,Medium,78,New,2
500378,2023-02-16,nan,Ahmedabad,Network,Low,22,New,4
500379,2024-06-02,North,Bengaluru,Network,Medium,114,nan,1
500380,2023-09-27,West,Bengaluru,Network,Medium,59,Existing,1
500381,2022-06-13,West,Pune,Service,Medium,137,New,2
500382,2024-05-11,East,Chennai,Network,Medium,5,New,1
500383,2023-11-07,Central,Chennai,nan,Critical,205,Existing,4
500384,2023-01-24,North,Ahmedabad,Billing,Medium,137,Existing,1
500385,2024-01-12,South,Delhi,Hardware,Low,25,New,2
500386,2022-01-25,North,Bengaluru,Network,Medium,210,Existing,4
500387,2022-03-05,North,Hyderabad,Billing,Medium,99,Existing,3
500388,2023-07-23,Central,Chennai,Billing,Low,73,New,4
500389,2022-11-30,East,Mumbai,nan,Low,197,New,4
500390,2024-06-17,North,Kolkata,Hardware,Critical,164,Existing,4
500391,2024-02-14,East,Bengaluru,Software,High,150,New,3
500392,2024-01-23,nan,Bengaluru,Software,High,114,Existing,2
500393,2024-06-08,South,Delhi,Billing,Low,120,Existing,5
500394,2022-04-16,East,Delhi,Billing,Low,77,Existing,1
500395,2023-03-14,West,Bengaluru,Service,Critical,221,nan,
500396,2024-05-06,Central,nan,Hardware,Low,156,New,3
500397,2024-04-11,West,Pune,nan,Low,3,Existing,3
500398,2023-08-17,East,Chennai,Network,High,24,Existing,1
500399,2024-01-01,North,Bengaluru,Network,Critical,80,Existing,3
500400,2022-12-15,East,Ahmedabad,Network,Medium,99,Existing,1
500401,2022-10-28,West,Pune,nan,High,127,Existing,2
500402,2024-02-05,South,Pune,Network,Medium,106,New,2
500403,2023-05-14,North,Kolkata,Software,Medium,67,nan,2
500404,2024-02-03,South,Pune,Network,Medium,21,New,3
500405,2023-05-13,North,Pune,Billing,High,14,Existing,5
500406,2024-04-16,North,Kolkata,Service,Low,14,Existing,5
500407,2023-01-06,South,Chennai,Service,Medium,173,New,4
500408,2022-05-31,nan,Bengaluru,Network,Critical,231,Existing,3
500409,2022-09-11,West,Delhi,nan,High,187,nan,
500410,2023-10-10,North,Ahmedabad,Network,Medium,20,nan,4
500411,2022-10-26,nan,Kolkata,Hardware,Low,176,Existing,4
500412,2023-06-28,Central,Kolkata,Network,Low,209,nan,5
500413,2023-08-30,South,Hyderabad,Billing,Low,173,Existing,3
500414,2024-06-02,Central,Chennai,Software,Critical,15,Existing,3
500415,2024-02-22,East,Bengaluru,Hardware,Low,1,New,
500416,2023-11-20,West,Pune,Hardware,Critical,143,Existing,4
500417,2023-09-16,East,Pune,Network,High,41,New,3
500418,2022-08-17,East,nan,Network,Critical,163,Existing,3
500419,2023-01-27,North,Ahmedabad,Service,Low,131,nan,5
500420,2022-12-17,nan,Delhi,Network,Low,68,Existing,1
500421,2023-04-18,Central,Chennai,Hardware,Low,228,nan,4
500422,2022-08-10,nan,nan,Software,Low,181,Existing,5
500423,2023-04-19,nan,Pune,Hardware,Low,167,Existing,1
500424,2022-03-22,North,Delhi,Network,High,113,nan,5
500425,2022-08-20,Central,Bengaluru,Network,Low,185,Existing,4
500426,2023-10-15,North,Mumbai,Billing,Medium,114,New,4
500427,2022-10-08,East,Chennai,Billing,Low,161,New,3
500428,2022-10-10,South,Delhi,Software,Critical,36,New,3
500429,2024-05-21,West,Bengaluru,Hardware,Low,45,New,3
500430,2023-12-09,West,Delhi,Network,Low,121,New,3
500431,2022-02-18,nan,Chennai,Service,Low,46,nan,4
500432,2023-11-01,nan,Mumbai,Service,Low,215,Existing,2
500433,2024-01-18,West,Pune,Billing,Low,13,New,3
