SalesID,Product,Region,Sales,Year
1085,Product D,South,,2023
1086,Product C,South,514.0,2022
1087,Product D,East,542.0,2023
1088,Product C,,,2023
1089,Product A,North,,2022
1090,Product E,East,419.0,2023
1091,Product C,,,2023
1092,Product E,Central,,2022
1093,Product C,North,,2022
1094,Product E,Central,751.0,2023
1095,Product D,North,,2023
1096,,North,,2023
1097,,West Coast,,2023
1098,Product E,South,,2023
1099,,,862.0,2023
1100,Product D,Central,826.0,2023
1101,Product C,South,,2023
1102,Product D,West Coast,745.0,2023
1103,,South,737.0,2023
1104,Product E,,,2022
1105,Product B,,558.0,2022
1106,Product B,North,423.0,2023
1107,Product E,North,,2022
1108,,,,2023
1109,Product B,South,735.0,2022
1110,Product D,South,,2022
1111,Product E,South,869.0,2023
1112,Product B,West Coast,,2023
1113,Product E,,,2023
1114,Product B,,,2023
1115,Product C,South,,2023
1116,,South,,2022
1117,,East,,2023
1118,Product C,Central,441.0,2022
1119,Product B,West Coast,755.0,2022
1120,Product A,West Coast,,2023
1121,Product D,North,,2023
1122,Product E,,,2023
1123,Product A,East,,2023
1124,Product E,,776.0,2023
1125,Product B,East,,2022
1126,Product D,East,,2022
1127,Product D,South,718.0,2023
1128,Product E,Central,739.0,2022
1129,,West Coast,,2022
1130,Product A,East,,2022
1131,Product D,East,,2023
1132,Product D,East,827.0,2023
1133,Product A,,676.0,2023
1134,Product B,,435.0,2022
1135,Product B,South,829.0,2022
1136,Product B,South,642.0,2022
1137,Product D,,,2022
1138,Product E,Central,893.0,2022
1139,Product C,North,696.0,2023
1140,Product E,,,2023
1141,,South,438.0,2022
1142,,East,835.0,2022
1143,Product C,Central,,2022
1144,Product E,,574.0,2023
1145,Product D,North,,2023
1146,,South,622.0,2023
1147,Product E,Central,,2023
1148,Product D,,,2023
1149,Product B,North,,2022
1150,Product D,Central,,2023
1151,Product A,West Coast,,2022
1152,Product D,South,,2023
1153,Product C,Central,,2022
1154,Product E,South,443.0,2023
1155,Product D,Central,788.0,2023
1156,,,,2022
1157,Product A,East,,2022
1158,Product C,,,2023
1159,Product E,Central,,2023
1160,Product C,,,2023
1161,Product C,South,461.0,2023
1162,Product A,,674.0,2022
1163,Product B,,,2023
1164,Product A,South,551.0,2023
1165,Product B,East,407.0,2023
1166,Product A,North,,2022
1167,,West Coast,452.0,2023
1168,Product D,West Coast,,2022
1169,Product A,East,,2022
1170,Product A,West Coast,651.0,2022
1171,Product B,South,,2022
1172,Product B,North,,2022
1173,Product E,West Coast,,2023
1174,Product E,West Coast,556.0,2022
1175,Product B,,,2022
1176,Product B,South,488.0,2022
1177,Product A,West Coast,,2023
1178,Product A,South,,2023
1179,Product A,,,2022
1180,Product D,North,678.0,2022
1181,Product C,South,436.0,2022
1182,Product C,Central,,2023
1183,Product A,West Coast,,2023
1184,Product C,Central,,2023
1185,Product A,Central,,2023
1186,Product E,East,413.0,2022
1187,,Central,700.0,2023
1188,Product E,North,790.0,2023
1189,Product E,,,2022
1190,Product E,West Coast,,2022
1191,Product D,East,,2023
1192,,North,839.0,2023
1193,Product D,,,2023
1194,Product E,North,632.0,2023
1195,Product C,East,,2022
1196,,Central,,2022
1197,Product B,Central,,2023
1198,Product A,South,536.0,2023
1199,Product D,,648.0,2022
1200,,Central,809.0,2022
1201,Product C,Central,,2022
1202,Product B,North,636.0,2022
1203,Product D,,,2023
1204,Product D,West Coast,,2022
1205,Product D,South,871.0,2022
1206,Product C,West Coast,,2022
1207,Product C,,,2022
1208,Product D,Central,,2023
1209,Product E,Central,,2023
1210,Product B,,,2022
1211,Product D,North,,2023
1212,Product D,,805.0,2023
1213,Product A,South,,2022
1214,Product D,North,,2022
1215,,South,609.0,2022
1216,Product D,East,,2022
1217,Product C,,,2023
1218,,,,2022
1219,Product E,North,,2022
1220,,North,622.0,2022
1221,Product D,South,,2022
1222,Product A,East,807.0,2023
1223,Product C,East,620.0,2022
1224,Product E,West Coast,689.0,2022
1225,Product B,North,,2022
1226,Product D,Central,473.0,2023
1227,,East,,2022
1228,Product D,East,746.0,2022
1229,Product D,East,,2023
1230,,East,,2022
1231,Product D,West Coast,454.0,2023
1232,Product E,East,,2023
1233,Product A,,,2022
1234,Product E,,798.0,2023
1235,Product C,South,,2022
1236,,South,,2022
1237,,North,862.0,2023
1238,Product D,North,,2022
1239,Product A,East,,2022
1240,Product B,South,,2023
1241,Product B,East,,2023
1242,,East,811.0,2023
1243,Product A,South,786.0,2023
1244,Product E,East,,2022
1245,Product C,Central,,2023
1246,,,,2023
1247,,East,455.0,2023
1248,Product A,Central,,2022
1249,,North,,2023
1250,,West Coast,459.0,2022
1251,Product A,East,652.0,2022
1252,Product B,Central,,2023
1253,Product C,,,2022
1254,Product D,,,2023
1255,Product C,North,,2022
1256,Product D,West Coast,886.0,2023
1257,Product A,,,2022
1258,Product D,East,497.0,2023
1259,Product A,,508.0,2022
1260,Product C,South,464.0,2022
1261,Product E,South,700.0,2022
1262,Product C,South,803.0,2023
1263,Product B,South,,2022
1264,Product A,,843.0,2022
1265,Product A,East,804.0,2023
1266,Product A,South,535.0,2022
1267,,West Coast,669.0,2022
1268,Product D,West Coast,,2022
1269,Product D,Central,513.0,2023
1270,Product D,,893.0,2022
1271,Product D,West Coast,618.0,2023
1272,,West Coast,437.0,2023
1273,Product E,South,433.0,2023
1274,Product E,,,2023
1275,Product E,Central,,2023
1276,Product A,,458.0,2023
1277,Product D,South,,2023
1278,Product D,West Coast,773.0,2023
1279,Product D,East,,2023
1280,Product B,,,2022
1281,Product A,North,,2022
1282,,,590.0,2022
1283,Product E,Central,,2022
1284,Product D,East,,2022
1285,Product C,Central,,2022
1286,Product E,Central,508.0,2023
1287,Product B,North,,2022
1288,Product C,Central,,2022
1289,Product E,,,2022
1290,Product B,East,,2023
1291,Product C,North,492.0,2023
1292,Product A,South,779.0,2022
1293,,Central,,2023
1294,Product D,East,,2023
1295,,East,797.0,2022
1296,Product B,South,786.0,2022
1297,Product C,West Coast,,2023
1298,Product E,West Coast,,2022
1299,Product E,North,,2022
1300,Product C,,,2023
1301,Product A,South,602.0,2022
1302,Product B,East,884.0,2022
1303,Product C,East,567.0,2022
1304,Product D,,620.0,2022
1305,Product D,Central,760.0,2023
1306,Product A,West Coast,841.0,2023
1307,Product A,West Coast,871.0,2023
1308,Product E,West Coast,,2023
1309,Product C,North,607.0,2023
1310,Product B,Central,,2022
1311,Product D,North,,2023
1312,Product E,North,,2023
1313,Product B,East,798.0,2022
1314,Product E,,458.0,2023
1315,Product C,,890.0,2022
1316,Product A,South,531.0,2022
1317,Product E,South,789.0,2022
1318,,West Coast,,2023
1319,,East,,2022
1320,Product D,West Coast,,2023
1321,Product E,North,580.0,2023
1322,Product D,West Coast,419.0,2023
1323,Product C,North,730.0,2023
1324,Product D,Central,683.0,2023
1325,Product E,,,2023
1326,Product E,South,890.0,2023
1327,Product A,East,765.0,2022
1328,Product A,South,,2023
1329,Product E,Central,712.0,2023
1330,Product C,East,,2023
1331,,Central,,2022
1332,Product C,North,,2023
1333,Product C,,836.0,2023
1334,Product A,Central,739.0,2023
1335,Product C,,,2022
1336,Product E,,880.0,2023
1337,Product E,West Coast,,2022
1338,,,824.0,2023
1339,Product E,East,,2023
1340,Product B,South,,2022
1341,Product B,South,479.0,2023
1342,Product A,Central,794.0,2023
1343,Product E,South,,2022
1344,Product B,South,825.0,2023
1345,Product A,West Coast,586.0,2023
1346,Product E,East,,2022
1347,Product E,South,,2022
1348,Product C,,,2023
1349,Product C,West Coast,,2022
1350,Product B,Central,,2022
1351,,West Coast,,2022
1352,,Central,835.0,2023
1353,Product A,South,,2022
1354,Product D,North,884.0,2023
1355,Product C,North,612.0,2023
1356,Product E,East,,2022
1357,Product C,South,,2022
1358,,,571.0,2022
1359,Product A,East,,2022
1360,,West Coast,629.0,2022
1361,Product A,East,510.0,2023
1362,Product A,East,,2022
1363,Product A,South,,2022
1364,Product A,West Coast,705.0,2022
1365,,South,,2022
1366,Product E,East,,2022
1367,,,,2022
1368,Product E,Central,659.0,2023
1369,Product D,North,,2023
1370,Product C,,,2022
1371,Product C,South,775.0,2023
1372,Product B,North,,2022
1373,,West Coast,,2022
1374,Product B,North,,2022
1375,Product C,South,422.0,2022
1376,Product C,East,,2023
1377,Product C,North,785.0,2023
1378,Product C,North,,2023
1379,Product A,East,,2023
1380,Product D,East,898.0,2023
1381,,West Coast,,2022
1382,,West Coast,,2022
1383,Product E,East,564.0,2022
1384,Product C,,,2023
1385,Product E,,618.0,2023
1386,Product C,West Coast,,2023
1387,Product C,,805.0,2022
1388,,,,2022
1389,Product A,South,,2022
1390,Product B,North,,2023
1391,Product D,Central,416.0,2023
1392,Product C,East,627.0,2022
1393,Product E,East,,2023
1394,Product B,North,413.0,2023
1395,Product E,West Coast,867.0,2023
1396,Product C,,628.0,2023
1397,,West Coast,502.0,2022
1398,Product A,West Coast,,2022
1399,,East,,2022
1400,Product E,Central,,2022
1401,,,874.0,2023
1402,Product E,South,462.0,2022
1403,Product B,West Coast,,2023
1404,Product D,Central,466.0,2022
1405,Product C,West Coast,,2023
1406,Product D,Central,437.0,2023
1407,,North,,2023
1408,Product B,Central,727.0,2022
1409,Product D,Central,866.0,2022
1410,Product E,South,555.0,2022
1411,Product C,,,2023
1412,Product A,East,,2022
1413,,East,714.0,2022
1414,Product E,Central,478.0,2023
1415,Product E,North,822.0,2022
1416,Product A,,,2022
1417,Product E,West Coast,716.0,2023
1418,,Central,,2023
1419,Product B,,,2023
1420,Product A,,430.0,2023
1421,Product D,West Coast,637.0,2023
1422,Product E,South,,2023
1423,Product D,South,,2022
1424,Product C,South,638.0,2023
1425,Product D,South,472.0,2022
1426,Product C,West Coast,,2022
1427,Product B,East,,2022
1428,Product B,West Coast,,2023
1429,Product C,West Coast,411.0,2023
1430,Product E,West Coast,894.0,2022
1431,Product E,East,424.0,2023
1432,Product D,Central,,2023
1433,Product E,North,833.0,2023
1434,Product B,East,,2023
1435,Product C,North,605.0,2022
1436,Product C,Central,547.0,2023
1437,Product E,West Coast,,2022
1438,Product B,North,,2023
1439,Product E,East,786.0,2022
1440,Product E,Central,605.0,2022
1441,Product A,South,,2023
1442,Product E,West Coast,476.0,2023
1443,Product E,East,,2023
1444,Product E,East,,2023
1445,Product D,North,,2022
1446,Product D,Central,557.0,2023
1447,Product C,,800.0,2022
1448,Product E,West Coast,,2022
1449,,South,416.0,2022
1450,Product A,West Coast,,2022
1451,Product D,,,2023
1452,,,431.0,2022
1453,Product E,East,,2023
1454,Product C,South,,2023
1455,,,,2023
1456,Product B,South,,2022
1457,Product C,East,760.0,2023
1458,Product C,West Coast,,2023
1459,Product A,Central,,2023
1460,Product C,South,548.0,2023
1461,,North,,2023
1462,,West Coast,509.0,2023
1463,Product E,,539.0,2022
1464,Product E,,700.0,2022
1465,Product A,,863.0,2022
1466,Product A,North,,2023
1467,Product A,,794.0,2022
1468,Product E,South,,2023
1469,,South,,2023
1470,Product C,,430.0,2022
1471,Product E,,770.0,2022
1472,Product D,South,878.0,2023
1473,Product D,South,,2022
1474,Product A,East,690.0,2023
1475,Product C,West Coast,,2022
1476,Product E,West Coast,539.0,2022
1477,Product C,South,,2023
1478,,South,,2023
1479,Product E,,787.0,2022
1480,Product E,,,2023
1481,Product E,East,,2022
1482,Product B,South,,2022
1483,Product A,East,596.0,2023
1484,Product C,East,554.0,2023
1485,,East,754.0,2022
1486,,North,,2022
1487,Product D,,,2022
1488,,East,588.0,2022
1489,Product B,West Coast,,2023
1490,Product D,,,2022
1491,Product B,,786.0,2023
1492,Product E,,585.0,2022
1493,Product A,Central,862.0,2022
1494,Product B,East,,2022
1495,,South,,2022
1496,Product E,West Coast,814.0,2023
1497,Product B,Central,,2022
1498,Product E,West Coast,,2022
1499,Product D,East,818.0,2022
1500,Product E,North,,2023
1501,,North,677.0,2022
1502,Product D,North,,2022
1503,Product B,,,2023
1504,Product D,West Coast,,2023
1505,Product A,,893.0,2023
1506,Product A,South,,2022
1507,,South,827.0,2022
1508,Product C,West Coast,,2023
1509,Product B,South,,2022
1510,Product C,South,879.0,2022
1511,,West Coast,714.0,2022
1512,Product B,North,451.0,2023
1513,Product E,,760.0,2022
1514,,North,,2022
1515,Product E,South,786.0,2022
1516,Product E,East,,2023
1517,Product B,East,848.0,2022
1518,Product D,East,540.0,2022
1519,,,,2022
1520,Product C,,,2023
1521,,West Coast,609.0,2023
1522,Product D,South,,2022
1523,Product B,East,839.0,2023
1524,Product A,Central,,2022
1525,Product D,South,530.0,2023
1526,,North,,2023
1527,Product A,Central,770.0,2022
1528,Product C,West Coast,744.0,2022
1529,Product B,Central,770.0,2023
1530,Product B,East,555.0,2022
1531,Product B,,,2022
1532,,Central,760.0,2023
1533,Product B,Central,,2023
1534,Product D,Central,,2023
1535,Product C,East,,2023
1536,Product A,,,2022
1537,Product C,East,611.0,2022
1538,,South,,2023
1539,Product C,South,,2022
1540,Product D,Central,826.0,2023
1541,Product E,,,2023
1542,Product D,,,2023
1543,Product B,,,2022
1544,Product B,,,2022
1545,Product E,,890.0,2022
1546,Product A,,424.0,2023
1547,Product B,,518.0,2022
1548,Product A,South,,2023
1549,Product A,Central,,2023
1550,Product A,North,,2022
1551,Product A,Central,,2023
1552,Product A,Central,,2022
1553,Product A,North,668.0,2022
1554,Product B,Central,,2023
1555,Product C,West Coast,,2023
1556,Product D,Central,524.0,2023
1557,,North,734.0,2022
1558,Product D,West Coast,,2022
1559,,North,759.0,2022
1560,Product D,West Coast,,2022
1561,Product E,North,517.0,2023
1562,Product C,North,873.0,2023
1563,Product E,Central,736.0,2022
1564,Product C,North,892.0,2022
1565,,West Coast,875.0,2023
1566,Product B,Central,,2023
1567,Product D,,471.0,2023
1568,Product A,North,623.0,2022
1569,Product C,Central,,2023
1570,Product A,,,2023
1571,Product B,East,,2023
1572,Product B,,,2022
1573,Product E,East,808.0,2022
1574,Product A,East,,2022
1575,,West Coast,,2022
1576,Product A,North,,2023
1577,Product C,East,452.0,2022
1578,Product B,West Coast,,2022
1579,Product A,North,581.0,2023
1580,Product D,North,,2023
1581,Product A,,861.0,2022
1582,,West Coast,486.0,2023
1583,Product C,East,652.0,2022
1584,Product B,West Coast,,2023
1585,Product D,North,,2022
1586,,,653.0,2023
1587,Product A,South,555.0,2023
1588,Product C,Central,,2023
1589,Product C,West Coast,817.0,2023
1590,Product C,Central,885.0,2023
1591,Product C,South,,2023
1592,Product C,,,2022
1593,Product C,West Coast,,2023
1594,Product A,Central,502.0,2022
1595,,West Coast,882.0,2023
1596,Product C,,,2023
1597,Product B,,555.0,2023
1598,,South,,2023
1599,Product A,West Coast,,2023
1600,Product E,Central,,2022
1601,Product C,,858.0,2022
1602,Product B,,,2022
1603,,Central,,2023
1604,Product D,North,405.0,2023
1605,Product B,Central,782.0,2023
1606,Product C,West Coast,637.0,2023
1607,Product A,West Coast,,2023
1608,Product A,North,825.0,2023
1609,Product C,East,633.0,2023
1610,Product C,West Coast,,2023
1611,Product C,North,553.0,2022
1612,Product A,East,731.0,2022
1613,,South,664.0,2022
1614,Product C,Central,,2022
1615,Product D,,494.0,2023
1616,Product D,North,777.0,2023
1617,Product E,West Coast,599.0,2022
1618,Product B,East,785.0,2022
1619,Product E,South,,2022
1620,Product D,North,,2023
1621,Product E,West Coast,,2022
1622,Product C,East,,2022
1623,,,,2022
1624,,South,560.0,2022
1625,Product C,North,,2022
1626,Product E,West Coast,614.0,2023
1627,Product D,South,649.0,2022
1628,Product D,East,471.0,2023
1629,Product D,Central,,2022
1630,Product D,South,,2023
1631,Product D,,,2023
1632,Product D,South,442.0,2022
1633,Product C,North,540.0,2023
1634,Product B,West Coast,,2022
1635,Product E,North,,2022
1636,,West Coast,679.0,2023
1637,Product A,,824.0,2023
1638,Product A,West Coast,,2022
1639,Product D,North,797.0,2022
1640,,Central,,2023
1641,Product B,Central,471.0,2022
1642,Product A,Central,,2022
1643,Product C,,,2023
1644,Product E,,817.0,2022
1645,Product D,North,541.0,2022
1646,Product B,South,,2022
1647,,West Coast,650.0,2023
1648,,West Coast,,2022
1649,,North,,2023
1650,Product D,West Coast,567.0,2022
1651,,West Coast,,2022
1652,Product E,West Coast,,2022
1653,Product D,East,,2023
1654,Product E,Central,,2023
1655,,North,423.0,2023
1656,Product A,North,875.0,2023
1657,Product D,North,,2022
1658,,South,,2022
1659,Product C,North,,2023
1660,Product A,East,740.0,2022
1661,Product D,,556.0,2023
1662,,North,760.0,2022
1663,Product B,West Coast,439.0,2022
1664,Product E,,627.0,2022
1665,,East,818.0,2023
1666,,South,644.0,2022
1667,Product D,North,774.0,2022
1668,Product C,East,,2022
1669,Product D,South,728.0,2022
1670,Product E,Central,404.0,2023
1671,Product C,,509.0,2023
1672,Product E,,626.0,2022
1673,Product A,South,785.0,2023
1674,Product C,West Coast,561.0,2022
1675,Product C,,443.0,2023
1676,,North,,2022
1677,Product E,Central,660.0,2023
1678,Product C,,427.0,2023
1679,Product D,North,,2022
1680,Product E,North,,2022
1681,Product D,Central,,2022
1682,Product D,North,408.0,2022
1683,Product C,South,420.0,2023
1684,Product E,East,,2023
1685,,West Coast,442.0,2023
1686,Product A,East,440.0,2022
1687,Product E,East,600.0,2023
1688,,West Coast,773.0,2022
1689,Product B,North,,2022
1690,Product D,Central,711.0,2023
1691,,,736.0,2022
1692,Product A,,470.0,2022
1693,Product D,East,,2022
1694,Product C,South,,2022
1695,Product A,East,,2023
1696,Product E,North,534.0,2023
1697,Product D,Central,584.0,2023
1698,Product E,South,588.0,2023
1699,Product A,Central,745.0,2022
1700,,Central,401.0,2022
1701,Product B,North,,2023
1702,Product B,South,876.0,2023
1703,Product B,East,,2023
1704,Product C,North,,2022
1705,Product E,,861.0,2022
1706,Product B,Central,,2022
1707,Product D,East,,2023
1708,Product A,Central,633.0,2023
1709,Product B,East,,2022
1710,Product D,East,,2022
1711,,Central,789.0,2022
1712,Product A,West Coast,412.0,2023
1713,,,849.0,2023
1714,Product A,,,2022
1715,Product B,Central,,2023
1716,Product A,South,,2022
1717,Product A,South,,2023
1718,Product D,,443.0,2022
1719,,West Coast,438.0,2023
1720,,South,,2023
1721,Product C,West Coast,,2023
1722,Product D,East,519.0,2022
1723,Product B,Central,455.0,2022
1724,Product B,West Coast,,2023
1725,Product A,Central,583.0,2023
1726,Product C,West Coast,535.0,2022
1727,Product B,,555.0,2022
1728,Product C,South,446.0,2023
1729,Product D,Central,,2023
1730,Product B,North,,2023
1731,Product E,,681.0,2022
1732,Product D,North,811.0,2022
1733,Product A,North,825.0,2022
1734,Product B,West Coast,590.0,2023
1735,Product A,North,433.0,2023
1736,Product B,North,,2022
1737,Product A,West Coast,425.0,2023
1738,,West Coast,654.0,2023
1739,,West Coast,,2022
1740,Product B,East,,2022
1741,Product A,Central,717.0,2023
1742,Product D,West Coast,,2022
1743,Product A,East,596.0,2023
1744,Product B,,852.0,2022
1745,Product D,,,2023
1746,Product C,Central,,2023
1747,Product C,South,,2022
1748,Product A,East,,2023
1749,Product E,South,898.0,2022
1750,Product B,,,2022
1751,Product B,Central,,2023
1752,Product B,South,,2023
1753,Product E,North,,2022
1754,Product E,South,,2023
1755,Product B,West Coast,419.0,2022
1756,Product B,Central,512.0,2023
1757,Product A,East,869.0,2022
1758,Product C,,,2022
1759,Product A,South,700.0,2022
1760,Product E,East,891.0,2023
1761,,,602.0,2023
1762,Product C,East,469.0,2023
1763,,West Coast,,2022
1764,,Central,,2022
1765,,Central,817.0,2023
1766,Product C,,,2022
1767,Product B,,,2022
1768,Product B,Central,562.0,2022
1769,Product D,South,569.0,2022
1770,Product C,East,485.0,2023
1771,Product D,North,535.0,2022
1772,,North,,2022
1773,,North,,2023
1774,,West Coast,896.0,2023
1775,Product D,West Coast,,2022
1776,Product D,Central,733.0,2022
1777,Product D,North,809.0,2023
1778,Product A,East,533.0,2022
1779,Product C,South,,2022
1780,,North,680.0,2023
1781,Product E,Central,,2022
1782,Product D,,,2022
1783,Product A,North,569.0,2022
1784,Product D,,,2023
1785,Product C,South,449.0,2023
1786,Product E,Central,,2022
1787,Product A,East,,2022
1788,Product C,,,2022
1789,Product A,North,505.0,2023
1790,Product A,West Coast,832.0,2023
1791,Product D,West Coast,,2022
1792,,Central,598.0,2023
1793,Product D,East,,2022
1794,Product C,West Coast,,2022
1795,Product C,Central,431.0,2022
1796,Product A,,,2022
1797,Product E,North,,2023
1798,Product E,,,2022
1799,Product D,East,,2022
1800,Product E,Central,861.0,2022
1801,Product D,South,885.0,2022
1802,Product B,South,,2022
1803,,West Coast,503.0,2023
1804,Product C,,868.0,2022
1805,Product D,Central,,2023
1806,Product E,West Coast,869.0,2023
1807,Product A,West Coast,476.0,2022
1808,Product A,Central,799.0,2023
1809,Product E,East,,2023
1810,Product D,,,2022
1811,Product B,East,606.0,2023
1812,Product A,West Coast,,2022
1813,Product A,,,2023
1814,Product A,East,,2023
1815,Product C,West Coast,839.0,2022
1816,Product B,East,,2023
1817,Product C,,613.0,2022
1818,Product D,South,,2023
1819,Product E,East,820.0,2022
1820,Product A,East,,2022
1821,Product E,Central,414.0,2022
1822,Product B,North,527.0,2023
1823,Product A,East,760.0,2023
1824,Product C,West Coast,,2022
1825,,North,,2023
1826,Product E,West Coast,,2023
1827,Product C,South,,2022
1828,Product C,North,597.0,2022
1829,Product E,South,838.0,2022
1830,,South,,2022
1831,,North,642.0,2022
1832,Product E,North,,2023
1833,,,,2023
1834,Product D,East,,2022
1835,Product D,East,,2022
1836,Product A,Central,,2023
1837,Product C,,,2022
1838,Product C,East,,2023
1839,Product C,,,2022
1840,Product B,Central,791.0,2022
1841,Product E,West Coast,,2022
1842,,North,,2023
1843,Product C,West Coast,,2022
1844,Product E,,692.0,2023
1845,,,,2023
1846,Product E,East,832.0,2022
1847,Product C,North,641.0,2023
1848,,Central,790.0,2023
1849,,North,,2022
1850,,East,,2023
1851,Product C,Central,,2022
1852,Product D,North,843.0,2023
1853,Product B,Central,,2023
1854,Product D,North,845.0,2022
1855,Product B,East,,2022
1856,Product C,,492.0,2023
1857,Product C,,,2022
1858,Product A,West Coast,540.0,2022
1859,Product E,South,650.0,2022
1860,Product E,West Coast,,2023
1861,Product D,West Coast,596.0,2022
1862,Product E,South,,2022
1863,Product C,Central,497.0,2022
1864,,,527.0,2023
1865,Product C,South,,2023
1866,Product B,North,821.0,2023
1867,Product C,West Coast,,2023
1868,,South,,2023
1869,Product B,South,,2022
1870,Product B,South,772.0,2022
1871,,North,701.0,2022
1872,Product C,,733.0,2023
1873,,East,794.0,2022
1874,,North,734.0,2022
1875,,North,,2023
1876,Product A,Central,,2022
1877,Product B,,751.0,2023
1878,Product D,,,2022
1879,Product D,North,661.0,2023
1880,Product A,North,654.0,2022
1881,Product C,Central,898.0,2023
1882,,West Coast,551.0,2022
1883,Product E,West Coast,866.0,2023
1884,Product C,South,401.0,2022
1885,Product A,Central,,2022
1886,Product A,Central,438.0,2023
1887,,South,,2023
1888,Product D,North,451.0,2022
1889,Product C,East,,2023
1890,,North,448.0,2022
1891,Product B,,731.0,2023
1892,Product C,West Coast,,2022
1893,Product C,East,493.0,2023
1894,Product D,West Coast,,2023
1895,Product D,,853.0,2022
1896,Product B,,771.0,2022
1897,Product A,West Coast,,2023
1898,Product B,Central,,2022
1899,,,898.0,2023
1900,Product D,North,,2023
1901,Product A,North,,2022
1902,,,668.0,2023
1903,Product E,Central,752.0,2023
1904,,,,2023
1905,,,,2022
1906,Product E,Central,427.0,2022
1907,Product E,West Coast,,2022
1908,Product A,West Coast,564.0,2023
1909,Product C,North,659.0,2023
1910,Product D,South,,2023
1911,Product E,West Coast,,2023
1912,Product C,North,654.0,2022
1913,Product D,West Coast,418.0,2022
1914,Product E,Central,,2022
1915,,,,2023
1916,Product A,South,,2023
1917,Product E,Central,,2023
1918,,West Coast,458.0,2022
1919,Product A,East,,2023
1920,,North,423.0,2023
1921,Product B,,,2022
1922,Product C,Central,500.0,2022
1923,Product D,South,634.0,2023
1924,Product A,West Coast,423.0,2023
1925,Product D,,701.0,2023
1926,Product A,Central,776.0,2023
1927,Product E,West Coast,873.0,2022
1928,,South,,2023
1929,Product E,West Coast,614.0,2023
1930,Product D,East,,2023
1931,Product B,South,,2023
1932,,,878.0,2022
1933,Product B,Central,,2023
1934,,South,763.0,2023
1935,,North,,2023
1936,Product E,Central,,2023
1937,Product D,North,667.0,2022
1938,Product D,South,427.0,2022
1939,Product C,South,,2022
1940,Product A,,,2022
1941,Product E,North,,2022
1942,Product E,,778.0,2023
1943,Product B,Central,,2022
1944,Product D,West Coast,,2022
1945,Product A,,528.0,2023
1946,Product B,,,2022
1947,,South,,2022
1948,,North,495.0,2022
1949,Product D,North,,2023
1950,Product B,South,,2022
1951,Product C,West Coast,763.0,2022
1952,Product B,East,705.0,2023
1953,Product D,Central,,2022
1954,,East,669.0,2022
1955,Product E,North,802.0,2023
1956,Product E,Central,606.0,2023
1957,Product B,South,,2023
1958,Product C,East,,2022
1959,Product A,,,2022
1960,,Central,870.0,2022
1961,,East,595.0,2023
1962,Product C,Central,,2022
1963,Product E,East,,2023
1964,Product A,East,859.0,2023
1965,Product E,North,885.0,2022
1966,Product E,Central,403.0,2022
1967,,,796.0,2023
1968,Product A,South,,2022
1969,,,478.0,2023
